post_id,platform,author_id,content,like_count,comment_count,share_count,posted_at,fetched_at,engagement_score,date
PVRexiT7IPU,YouTube,UCyie0LuLrzn_NqclHVazagw,"Monty Python - King Arthur vs The Black Knight (HD) | &quot;Tis But A Scratch!&quot; Witness one of the most legendary, absurd, and quotable duels in cinematic history! This is the complete ""Black Knight"" scene ...",33,1,0,2025-08-20 11:59:45+00:00,2025-08-20T20:48:04.459038+00:00,34,8/20/2025
kBDRxJ_u16M,YouTube,UCnODAwNsQmNwwrCUd9qUe8A,20 aug Python practical paper solution | Today O Level Python practical pr3 | Newideasyt O Level Practical Paper Solution PYTHON M3R5 | o level paper solution o level exam analysis today practical pr3 o level o level ...,306,13,0,2025-08-20 11:06:49+00:00,2025-08-20T20:48:04.878583+00:00,319,8/20/2025
DEMTEoMD2SA,YouTube,UCoE8lGNTN1ztSokTnVQSs0w,"【2025 Newest Movies】Mutant beast+python+man-eating plants, non-stop thrilling attacks! #movie #film Welcome to Follow Monster Sister - Movie House https://www.youtube.com/channel/UCoE8lGNTN1ztSokTnVQSs0w Turn on ...",32,1,0,2025-08-20 11:00:06+00:00,2025-08-20T20:48:05.288716+00:00,33,8/20/2025
yRppmjTfhJ0,YouTube,UC8S1Jp48XGonC4LHKpaHwHA,Terrifying Python Hunt: DIY Giant Python Trap &amp; Harvesting Malabar Spinach in the Garden for Market! licadailylife #lythica #harvesting #harvest #cooking Terrifying Python Hunt: DIY Giant Python Trap & Harvesting Malabar Spinach ...,387,2,0,2025-08-20 11:00:06+00:00,2025-08-20T20:48:05.693670+00:00,389,8/20/2025
AwSVno39j3Y,YouTube,UCigb9xf3iekhQiVh5XKW6Ww,Python Roadmap #ai#python#coding #computer#hacker#chatgpt#hack#tech#trending#programming#skills#tech Python Roadmap 2025 – Step by Step Guide Want to master Python and become job-ready? Here's your ultimate Python learning ...,317,4,0,2025-08-20 10:51:33+00:00,2025-08-20T20:48:06.122234+00:00,321,8/20/2025
i4SdE7FeFBQ,YouTube,UCh-_PQE36d7XkOi_j2pJD-A,Строки (str) в Python #python ,23,0,0,2025-08-20 09:08:13+00:00,2025-08-20T20:48:06.518583+00:00,23,8/20/2025
xrY4jG3g_Hc,YouTube,UCKlomlfBB0aRlgapEa8nczg,വാണിമേൽ പാലത്തിനടുത്ത് ഭീതി പരത്തിയ പെരുമ്പാമ്പിനെ പിടികൂടി ,16,0,0,2025-08-20 07:43:04+00:00,2025-08-20T20:48:06.919502+00:00,16,8/20/2025
RS-nztVhfQY,YouTube,UCsZvmAXe3YUiSkoiW1qwZ6A,Elephant Lifts Python &amp; Eagle in Stunning Rescue 🐘🦅 | DJTrend News Exclusive #wildlife #shortvideo Elephant Lifts Python & Eagle in Stunning Rescue | DJTrend News Exclusive #wildlife #shortvideo Incredible footage shows ...,39,0,0,2025-08-20 07:01:03+00:00,2025-08-20T20:48:07.329709+00:00,39,8/20/2025
Uhr63xI_JLQ,YouTube,UCUGwnDFBHY52YhgVjn-Tvww,"Python News : पेड़ पर बैठा मिला विशालकाय अजगर मचा हड़कंप, सर्प मित्रों ने किया रेस्क्यू ABPGangalive #UPNews #UPNikayChunav #Breaking #python Python News : पेड़ पर बैठा मिला ...",16,0,0,2025-08-20 06:50:00+00:00,2025-08-20T20:48:07.733451+00:00,16,8/20/2025
ki2P0P6KPJg,YouTube,UCnzz7kiKNU-YBYPQ06l6JPA,📊 Verileri anlamanın en sade yolu: Lineer Regresyon #linearregression #datascience #python #ai ,1,0,0,2025-08-20 06:36:44+00:00,2025-08-20T20:48:08.152822+00:00,1,8/20/2025
1.95827E+18,Twitter,3705230000,RT @gp_pulipaka: Best Data Science Courses! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #Tens…,0,0,3,,2025-08-20T20:48:08.887573+00:00,3,8/20/2025
1.95827E+18,Twitter,1.05317E+18,"RT @mayemusk: In our 70s, my twin wanted us to reenact our python photo from when we were 12. This time I wasn’t into it, but she convinced…",0,0,703,,2025-08-20T20:48:08.887573+00:00,703,8/20/2025
1.95827E+18,Twitter,212316107,"RT @BowTiedCyber: You can start a whole cybersecurity career for under $1,000

Network+ ($350)
Security+ ($400)
Linux FREE
Python FREE
Suri…",0,0,25,,2025-08-20T20:48:08.887573+00:00,25,8/20/2025
1.95827E+18,Twitter,2946502852,"RT @pushpendratips: All programming Handwritten notes🔥

Just for FREE !!

• html
• CSS
• Git
• Sql
• DSA
• Java
• DBMS
• Python
• Node.js
•…",0,0,78,,2025-08-20T20:48:08.887573+00:00,78,8/20/2025
1.95827E+18,Twitter,322460769,"@giffmana Type safety, clean refactoring, excellent static checking, etc --- all lend themselves well to LLM code generation and validation. Python seems like an accident for code generation (and a painful one)",0,0,0,,2025-08-20T20:48:08.887573+00:00,0,8/20/2025
1.95827E+18,Twitter,1.7352E+18,"RT @HighDefDiscNews: #4K #UHD #Bluray #TechSpecs:

Title: Monty Python and the Holy Grail [SteelBook]
Release Year: 2025
Aspect Ratio: 1.66…",0,0,4,,2025-08-20T20:48:08.887573+00:00,4,8/20/2025
1.95827E+18,Twitter,3705230000,RT @gp_pulipaka: Data Visualization Books! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Ja…,0,0,4,,2025-08-20T20:48:08.887573+00:00,4,8/20/2025
1.95827E+18,Twitter,1.7352E+18,"RT @HighDefDiscNews: #Bluray #TechSpecs:

Title: Monty Python and the Holy Grail
Release Year: 2012
Distributor: Sony
Aspect Ratio: 1.66:1…",0,0,1,,2025-08-20T20:48:08.887573+00:00,1,8/20/2025
1.95827E+18,Twitter,1.7352E+18,"RT @HighDefDiscNews: Monty Python and the Holy Grail - 4K UHD Blu-ray SteelBook Screenshots

Featuring Blu-ray comparisons #4K #Bluray #Phy…",0,0,2,,2025-08-20T20:48:08.887573+00:00,2,8/20/2025
1.95827E+18,Twitter,1.21614E+18,https://t.co/DLnv8mwkbg,0,0,0,,2025-08-20T20:48:08.887573+00:00,0,8/20/2025
1.95827E+18,Twitter,1.6807E+18,"RT @Eyowhite3: 100 Most asked Python Interview Questions and Answers:

🧵 https://t.co/lSLZDULZBl",0,0,32,,2025-08-20T20:48:08.887573+00:00,32,8/20/2025
1.95827E+18,Twitter,183070035,RT @sulfuroid: https://t.co/RHfkzEu6g5 Investir avec chatGPT et Python: Guide pratique pour développer des outils de trading en Bourse et C…,0,0,1,,2025-08-20T20:48:08.887573+00:00,1,8/20/2025
1.95827E+18,Twitter,1.65739E+18,"@python_spaces @GlbGPT looks interesting, navigating all those models in one place can save time. curious to see how it performs in practice",0,0,0,,2025-08-20T20:48:08.887573+00:00,0,8/20/2025
1.95827E+18,Twitter,345294766,"@us_safdar writes a piece on @Medium on how he wrote some #Python  code that scrapes data for (US) stocks from @YahooFinance and @AlpacaFinance and then publishes it in a commercial tool (charts, alerts, indicators etc) which he sells for $$$. 
When I put a comment on how that https://t.co/fDA4xLmHWX",0,0,0,,2025-08-20T20:48:08.887573+00:00,0,8/20/2025
1.95827E+18,Twitter,1.47218E+18,"RT @swapnakpanda: 10. Kaggle Certifications

  ❯ Python
  ❯ SQL
  ❯ AI/ML, DL
  ❯ Data Science

🖇️ https://t.co/VGIIXK1Ftw https://t.co/XrJ…",0,0,3,,2025-08-20T20:48:08.887573+00:00,3,8/20/2025
1.95827E+18,Twitter,1.7352E+18,"RT @HighDefDiscNews: The 4K screenshots set is now up on the website.

https://t.co/OpIymW0QJC",0,0,2,,2025-08-20T20:48:08.887573+00:00,2,8/20/2025
1.95827E+18,Twitter,1.54574E+18,"RT @ObscureSupercar: 🇺🇸 Roaring Twenties Python

1991 • 10.2L V8 • 550bhp • 232mph

📸 unknown/Roaring Twenties Car Company
#osotd #supercar…",0,0,33,,2025-08-20T20:48:08.887573+00:00,33,8/20/2025
1.95827E+18,Twitter,1.7352E+18,"RT @HighDefDiscNews: Well, I've been saving this to show you, but the animation by Terry Gilliam on MONTY PYTHON AND THE HOLY GRAIL on 4K U…",0,0,4,,2025-08-20T20:48:08.887573+00:00,4,8/20/2025
1.95827E+18,Twitter,2411180728,"@AngieMatiz6 Los que usan python les gusta la anaconda, no hay de otra",0,0,0,,2025-08-20T20:48:08.887573+00:00,0,8/20/2025
1.95827E+18,Twitter,1.72067E+18,"@learn2party For architectural programming (like computational design in building architecture), Python pairs best with linear algebra and geometry. Python's libraries (e.g., Rhino/Grasshopper integration) handle parametric modeling, while the math enables transformations and spatial",0,0,0,,2025-08-20T20:48:08.887573+00:00,0,8/20/2025
